Service,Default Exposure,Recommended Exposure,Notes
traefik,"Public (80, 443)",Public,"Primary web proxy. Dashboard on 8080 (localhost only)."
n8n,"Private (via Traefik)",Public,"Core application. Exposed via Traefik at your N8N_DOMAIN."
postgres,Private,Private,Main database for n8n.
pgadmin,"Private (via Traefik)",Private,"Database management UI. Developer profile only."
jupyterlab,"Private (via Traefik)",Private,"For data science and testing. Developer profile only."
qdrant,"Private (via Traefik)",Private,"Vector database. Exposed via Traefik at your QDRANT_DOMAIN."
ollama,"Private (via Traefik)",Private,"Runs LLMs. Exposed via Traefik at your OLLAMA_DOMAIN."
graphiti,"Private (via Traefik)",Private,"Graph-based memory store. Exposed via Traefik at your GRAPHITI_DOMAIN."
neo4j,Private,Private,Graph database for Graphiti.
clickhouse,Private,Private,"Analytics database. Analytics profile only."
superset,"Private (via Traefik)",Private,"BI tool for analytics. Analytics profile only."
redis,Private,Private,"Cache/messaging for analytics. Analytics profile only."
elasticsearch,Private,Private,"Log storage and search. Logging profile only."
kibana,"Private (via Traefik)",Private,"Log visualization. Logging profile only."
logstash,Private,Private,"Log processor. Logging profile only."
prometheus,"Private (via Traefik)",Private,"Monitoring system. Monitoring profile only."
grafana,"Private (via Traefik)",Private,"Dashboards for monitoring. Monitoring profile only."
alertmanager,"Private (via Traefik)",Private,"Alerting system. Monitoring profile only."
node-exporter,Private,Private,"Host metrics exporter. Monitoring profile only."
cadvisor,Private,Private,"Container metrics exporter. Monitoring profile only."
